Task,InitTransferTime
block1_conv1,1267
block1_conv2,27916
block2_conv1,53484
block2_conv2,103236
block3_conv1,214060
block3_conv2,427869
block3_conv3,428072
block4_conv1,854116
block4_conv2,1708670
block4_conv3,1708406
block5_conv1,1708766
block5_conv2,1708876
block5_conv3,1709286
fc1,17459
fc2,3027
predictions,3013
