task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
batch_normalization_41,81696,81669,80951,81676,81663,81676,81676,81676,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_50,81175,80633,81289,80640,80627,80640,80640,80640,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_46,68984,68794,68685,68803,68789,68803,68803,68803,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_43,69213,69763,69206,69772,69758,69772,69772,69772,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_47,68619,68673,68872,68682,68668,68682,68682,68682,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_44,80681,81430,81797,81437,81424,81437,81437,81437,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_48,68939,68498,69323,68507,68493,68507,68507,68507,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_49,81674,81292,80816,81299,81286,81299,81299,81299,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_55,69557,68637,68556,68646,68632,68646,68646,68646,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_52,68323,68534,69157,68543,68529,68543,68543,68543,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_51,79929,80561,80739,80568,80555,80568,80568,80568,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_60,81759,80712,79853,80719,80706,80719,80719,80719,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_56,68190,68469,68108,68478,68464,68478,68478,68478,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_53,68336,69081,68406,69090,69076,69090,69090,69090,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_57,69964,69854,69100,69863,69849,69863,69863,69863,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_54,81828,80834,82454,80841,80828,80841,80841,80841,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
