Task,Start,conv2d_1,batch_normalization_1,conv2d_2,batch_normalization_2,conv2d_3,batch_normalization_3,conv2d_4,batch_normalization_4,conv2d_6,batch_normalization_6,conv2d_7,batch_normalization_7,conv2d_8,batch_normalization_8,conv2d_9,batch_normalization_9,conv2d_10,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conv2d_1,0,0,66911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_1,0,0,0,70133,0,0,0,0,0,0,0,0,0,0,0,53638,0,0,0
conv2d_2,0,0,0,0,63462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_2,0,0,0,0,0,70508,0,0,0,0,0,0,0,53680,0,0,0,0,0
conv2d_3,0,0,0,0,0,0,75021,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_3,0,0,0,0,0,0,0,73564,0,0,0,53503,0,0,0,0,0,0,0
conv2d_4,0,0,0,0,0,0,0,0,55294,0,0,0,0,0,0,0,0,0,0
batch_normalization_4,0,0,0,0,0,0,0,0,0,39025,0,0,0,0,0,0,0,0,0
conv2d_6,0,0,0,0,0,0,0,0,0,0,50676,0,0,0,0,0,0,0,0
batch_normalization_6,0,0,0,0,0,0,0,0,0,0,0,48325,0,0,0,0,0,0,0
conv2d_7,0,0,0,0,0,0,0,0,0,0,0,0,57441,0,0,0,0,0,0
batch_normalization_7,0,0,0,0,0,0,0,0,0,0,0,0,0,45888,0,0,0,0,0
conv2d_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55304,0,0,0,0
batch_normalization_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39017,0,0,0
conv2d_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30251,0,0
batch_normalization_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44208,0
conv2d_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
