Task,InitTransferTime
conv2d_1,945
conv2d_2,6488
conv2d_3,13427
conv2d_4,3740
conv2d_5,100085
conv2d_9,9121
conv2d_7,6806
conv2d_6,9636
conv2d_12,4596
conv2d_10,39875
conv2d_8,55876
conv2d_11,60293
conv2d_16,12243
conv2d_14,9910
conv2d_13,12466
conv2d_19,12306
conv2d_17,40483
conv2d_15,55172
conv2d_18,59713
conv2d_23,13959
conv2d_21,10420
conv2d_20,13638
conv2d_26,13520
conv2d_24,40278
conv2d_22,55138
conv2d_25,58958
conv2d_28,13590
conv2d_27,720334
conv2d_29,39259
conv2d_30,58641
conv2d_35,71298
conv2d_32,71188
conv2d_31,106350
conv2d_40,106135
conv2d_36,82480
conv2d_33,82412
conv2d_37,82860
conv2d_34,123593
conv2d_38,83208
conv2d_39,125054
conv2d_45,87672
conv2d_42,87855
conv2d_41,106323
conv2d_50,105775
conv2d_46,130772
conv2d_43,129216
conv2d_47,130151
conv2d_44,155724
conv2d_48,127897
conv2d_49,155209
conv2d_55,89488
conv2d_52,88452
conv2d_51,105444
conv2d_60,106774
conv2d_56,128968
conv2d_53,128513
conv2d_57,129055
conv2d_54,156310
conv2d_58,127924
conv2d_59,153520
conv2d_65,105572
conv2d_62,104962
conv2d_61,106052
conv2d_70,105834
conv2d_66,183788
conv2d_63,184748
conv2d_67,183348
conv2d_64,184354
conv2d_68,183880
conv2d_69,184218
conv2d_73,105382
conv2d_71,104924
conv2d_74,183634
conv2d_72,393876
conv2d_75,184768
conv2d_76,236726
conv2d_81,409466
conv2d_78,350926
conv2d_77,292978
conv2d_85,175638
conv2d_82,1104120
conv2d_79,315544
conv2d_80,315710
conv2d_83,315596
conv2d_84,315384
conv2d_90,654820
conv2d_87,560884
conv2d_86,467670
conv2d_94,280618
conv2d_91,1104018
conv2d_88,315416
conv2d_89,315568
conv2d_92,315396
conv2d_93,315822
predictions,1713
