Task,InitTransferTime
conv2d_1,949
conv2d_2,7316
conv2d_3,13521
conv2d_4,4547
conv2d_5,99976
conv2d_9,8383
conv2d_7,7590
conv2d_6,9836
conv2d_12,5114
conv2d_10,39637
conv2d_8,55448
conv2d_11,60029
conv2d_16,11525
conv2d_14,9000
conv2d_13,12538
conv2d_19,12218
conv2d_17,39625
conv2d_15,54900
conv2d_18,60421
conv2d_23,13321
conv2d_21,10364
conv2d_20,13604
conv2d_26,12778
conv2d_24,39318
conv2d_22,54768
conv2d_25,59098
conv2d_28,13618
conv2d_27,720604
conv2d_29,39213
conv2d_30,59098
conv2d_35,71522
conv2d_32,70196
conv2d_31,107688
conv2d_40,106823
conv2d_36,82220
conv2d_33,83136
conv2d_37,82650
conv2d_34,124062
conv2d_38,82898
conv2d_39,124580
conv2d_45,88736
conv2d_42,89719
conv2d_41,105143
conv2d_50,106104
conv2d_46,129000
conv2d_43,129353
conv2d_47,129155
conv2d_44,155386
conv2d_48,129877
conv2d_49,156769
conv2d_55,89188
conv2d_52,88510
conv2d_51,105921
conv2d_60,105368
conv2d_56,130941
conv2d_53,129150
conv2d_57,129631
conv2d_54,153768
conv2d_58,127828
conv2d_59,153612
conv2d_65,105634
conv2d_62,104824
conv2d_61,105942
conv2d_70,105720
conv2d_66,184660
conv2d_63,184698
conv2d_67,183410
conv2d_64,183734
conv2d_68,183796
conv2d_69,184314
conv2d_73,105468
conv2d_71,105864
conv2d_74,184542
conv2d_72,394200
conv2d_75,184734
conv2d_76,236620
conv2d_81,409794
conv2d_78,350622
conv2d_77,292802
conv2d_85,175638
conv2d_82,1104076
conv2d_79,316520
conv2d_80,316086
conv2d_83,315432
conv2d_84,315542
conv2d_90,654750
conv2d_87,561172
conv2d_86,467918
conv2d_94,280760
conv2d_91,1104618
conv2d_88,316522
conv2d_89,315676
conv2d_92,315190
conv2d_93,315500
predictions,1713
