Task,InitTransferTime
conv2d_1,949
conv2d_2,6470
conv2d_3,12953
conv2d_4,3764
conv2d_5,100665
conv2d_9,9147
conv2d_7,6800
conv2d_6,9716
conv2d_12,4614
conv2d_10,40247
conv2d_8,56294
conv2d_11,60539
conv2d_16,12321
conv2d_14,9005
conv2d_13,12458
conv2d_19,12158
conv2d_17,39561
conv2d_15,55604
conv2d_18,60935
conv2d_23,13963
conv2d_21,9651
conv2d_20,13546
conv2d_26,13562
conv2d_24,39356
conv2d_22,54512
conv2d_25,60254
conv2d_28,12858
conv2d_27,720954
conv2d_29,39425
conv2d_30,59146
conv2d_35,71722
conv2d_32,70384
conv2d_31,107689
conv2d_40,106677
conv2d_36,83236
conv2d_33,82344
conv2d_37,82280
conv2d_34,123636
conv2d_38,82826
conv2d_39,124582
conv2d_45,88737
conv2d_42,88916
conv2d_41,106315
conv2d_50,105908
conv2d_46,130312
conv2d_43,130168
conv2d_47,128435
conv2d_44,155069
conv2d_48,128761
conv2d_49,156317
conv2d_55,89716
conv2d_52,88264
conv2d_51,105760
conv2d_60,105866
conv2d_56,128973
conv2d_53,130034
conv2d_57,127783
conv2d_54,153632
conv2d_58,127796
conv2d_59,153804
conv2d_65,105624
conv2d_62,105686
conv2d_61,105648
conv2d_70,105188
conv2d_66,184346
conv2d_63,184824
conv2d_67,183726
conv2d_64,184334
conv2d_68,184578
conv2d_69,183490
conv2d_73,105676
conv2d_71,105206
conv2d_74,184854
conv2d_72,394098
conv2d_75,183948
conv2d_76,237356
conv2d_81,409796
conv2d_78,350684
conv2d_77,292946
conv2d_85,175566
conv2d_82,1103954
conv2d_79,316468
conv2d_80,315758
conv2d_83,315900
conv2d_84,316398
conv2d_90,654692
conv2d_87,561600
conv2d_86,467786
conv2d_94,280694
conv2d_91,1104584
conv2d_88,315358
conv2d_89,315696
conv2d_92,316042
conv2d_93,315522
predictions,1713
