Task,InitTransferTime
conv2d_1,959
conv2d_2,6490
conv2d_3,13435
conv2d_4,3772
conv2d_5,100359
conv2d_9,8357
conv2d_7,7582
conv2d_6,9748
conv2d_12,4672
conv2d_10,40455
conv2d_8,55018
conv2d_11,60333
conv2d_16,11493
conv2d_14,9202
conv2d_13,12466
conv2d_19,12246
conv2d_17,39421
conv2d_15,56222
conv2d_18,60441
conv2d_23,14051
conv2d_21,10464
conv2d_20,13688
conv2d_26,13544
conv2d_24,40100
conv2d_22,55330
conv2d_25,58834
conv2d_28,13500
conv2d_27,720670
conv2d_29,39069
conv2d_30,58589
conv2d_35,70436
conv2d_32,72002
conv2d_31,106372
conv2d_40,106344
conv2d_36,82392
conv2d_33,82372
conv2d_37,83176
conv2d_34,123668
conv2d_38,83064
conv2d_39,124048
conv2d_45,87726
conv2d_42,87794
conv2d_41,106081
conv2d_50,106505
conv2d_46,130298
conv2d_43,129268
conv2d_47,129787
conv2d_44,155602
conv2d_48,127937
conv2d_49,155271
conv2d_55,89562
conv2d_52,88964
conv2d_51,105684
conv2d_60,106780
conv2d_56,128992
conv2d_53,128763
conv2d_57,129309
conv2d_54,156456
conv2d_58,127636
conv2d_59,153762
conv2d_65,105454
conv2d_62,105052
conv2d_61,105038
conv2d_70,105860
conv2d_66,184034
conv2d_63,184748
conv2d_67,183412
conv2d_64,183886
conv2d_68,184584
conv2d_69,184126
conv2d_73,105458
conv2d_71,105000
conv2d_74,183890
conv2d_72,394008
conv2d_75,184616
conv2d_76,237030
conv2d_81,409812
conv2d_78,350674
conv2d_77,292818
conv2d_85,175638
conv2d_82,1104344
conv2d_79,315624
conv2d_80,315352
conv2d_83,315626
conv2d_84,315426
conv2d_90,654668
conv2d_87,561018
conv2d_86,467946
conv2d_94,280774
conv2d_91,1104264
conv2d_88,315330
conv2d_89,315740
conv2d_92,315604
conv2d_93,316246
predictions,1713
