Task,InitTransferTime
conv2d_1,949
conv2d_2,7246
conv2d_3,13749
conv2d_4,4528
conv2d_5,100347
conv2d_9,9137
conv2d_7,6789
conv2d_6,9862
conv2d_12,5344
conv2d_10,40650
conv2d_8,54828
conv2d_11,60617
conv2d_16,12287
conv2d_14,9966
conv2d_13,12554
conv2d_19,12292
conv2d_17,40331
conv2d_15,56021
conv2d_18,60341
conv2d_23,13551
conv2d_21,10412
conv2d_20,13616
conv2d_26,13550
conv2d_24,40108
conv2d_22,54740
conv2d_25,58938
conv2d_28,13628
conv2d_27,719418
conv2d_29,39925
conv2d_30,59491
conv2d_35,71272
conv2d_32,71918
conv2d_31,105807
conv2d_40,106824
conv2d_36,82490
conv2d_33,83150
conv2d_37,83668
conv2d_34,123976
conv2d_38,84030
conv2d_39,124754
conv2d_45,88586
conv2d_42,88378
conv2d_41,106035
conv2d_50,106417
conv2d_46,129958
conv2d_43,128468
conv2d_47,129947
conv2d_44,155636
conv2d_48,127793
conv2d_49,155158
conv2d_55,89472
conv2d_52,87666
conv2d_51,106404
conv2d_60,106700
conv2d_56,129164
conv2d_53,129025
conv2d_57,129623
conv2d_54,157702
conv2d_58,127928
conv2d_59,153566
conv2d_65,104866
conv2d_62,105676
conv2d_61,105728
conv2d_70,105518
conv2d_66,184658
conv2d_63,184640
conv2d_67,184094
conv2d_64,183508
conv2d_68,184572
conv2d_69,184292
conv2d_73,105096
conv2d_71,105038
conv2d_74,184384
conv2d_72,394070
conv2d_75,184644
conv2d_76,236618
conv2d_81,409020
conv2d_78,350430
conv2d_77,293070
conv2d_85,175216
conv2d_82,1103852
conv2d_79,316428
conv2d_80,315874
conv2d_83,315886
conv2d_84,315314
conv2d_90,654668
conv2d_87,560968
conv2d_86,467938
conv2d_94,280842
conv2d_91,1104432
conv2d_88,315356
conv2d_89,315676
conv2d_92,315260
conv2d_93,315784
predictions,1713
