Task,InitTransferTime
conv2d_1,945
conv2d_2,6488
conv2d_3,13169
conv2d_4,3740
conv2d_5,100895
conv2d_9,9089
conv2d_7,7552
conv2d_6,9880
conv2d_12,5434
conv2d_10,40359
conv2d_8,55102
conv2d_11,59759
conv2d_16,11527
conv2d_14,9188
conv2d_13,12582
conv2d_19,11544
conv2d_17,39525
conv2d_15,55440
conv2d_18,60339
conv2d_23,14041
conv2d_21,10522
conv2d_20,13606
conv2d_26,13536
conv2d_24,40150
conv2d_22,55210
conv2d_25,59578
conv2d_28,13554
conv2d_27,719618
conv2d_29,39745
conv2d_30,59323
conv2d_35,71176
conv2d_32,71346
conv2d_31,106272
conv2d_40,106900
conv2d_36,82524
conv2d_33,82690
conv2d_37,82962
conv2d_34,123054
conv2d_38,83352
conv2d_39,125238
conv2d_45,87620
conv2d_42,88036
conv2d_41,106161
conv2d_50,106421
conv2d_46,130686
conv2d_43,128670
conv2d_47,129957
conv2d_44,155522
conv2d_48,127719
conv2d_49,155217
conv2d_55,89404
conv2d_52,88642
conv2d_51,106172
conv2d_60,106628
conv2d_56,129386
conv2d_53,128617
conv2d_57,129115
conv2d_54,156198
conv2d_58,127930
conv2d_59,153604
conv2d_65,105570
conv2d_62,104962
conv2d_61,106036
conv2d_70,105704
conv2d_66,184614
conv2d_63,184420
conv2d_67,183468
conv2d_64,183780
conv2d_68,183882
conv2d_69,184338
conv2d_73,105266
conv2d_71,105088
conv2d_74,184502
conv2d_72,394462
conv2d_75,184384
conv2d_76,236746
conv2d_81,408980
conv2d_78,350260
conv2d_77,292640
conv2d_85,175246
conv2d_82,1104076
conv2d_79,315596
conv2d_80,315826
conv2d_83,316530
conv2d_84,316234
conv2d_90,654440
conv2d_87,561636
conv2d_86,467492
conv2d_94,280700
conv2d_91,1103892
conv2d_88,315264
conv2d_89,315772
conv2d_92,315300
conv2d_93,316186
predictions,1713
