Task,InitTransferTime
conv2d_1,945
conv2d_2,6520
conv2d_3,13423
conv2d_4,3908
conv2d_5,100165
conv2d_9,8407
conv2d_7,7506
conv2d_6,9704
conv2d_12,4704
conv2d_10,40469
conv2d_8,55136
conv2d_11,60461
conv2d_16,11533
conv2d_14,9198
conv2d_13,12549
conv2d_19,12223
conv2d_17,39493
conv2d_15,56120
conv2d_18,60333
conv2d_23,13241
conv2d_21,10446
conv2d_20,13644
conv2d_26,13590
conv2d_24,40314
conv2d_22,54590
conv2d_25,58764
conv2d_28,13542
conv2d_27,720550
conv2d_29,39149
conv2d_30,58527
conv2d_35,71662
conv2d_32,71166
conv2d_31,106462
conv2d_40,106976
conv2d_36,82388
conv2d_33,82512
conv2d_37,83130
conv2d_34,123724
conv2d_38,83054
conv2d_39,125398
conv2d_45,87808
conv2d_42,87652
conv2d_41,106265
conv2d_50,106369
conv2d_46,130549
conv2d_43,129178
conv2d_47,129973
conv2d_44,155774
conv2d_48,128077
conv2d_49,155153
conv2d_55,89422
conv2d_52,88676
conv2d_51,106408
conv2d_60,106648
conv2d_56,129326
conv2d_53,128863
conv2d_57,129327
conv2d_54,156634
conv2d_58,128140
conv2d_59,153642
conv2d_65,105410
conv2d_62,104944
conv2d_61,106024
conv2d_70,105712
conv2d_66,183802
conv2d_63,184592
conv2d_67,183798
conv2d_64,183666
conv2d_68,184376
conv2d_69,184180
conv2d_73,105530
conv2d_71,105088
conv2d_74,183890
conv2d_72,394204
conv2d_75,184424
conv2d_76,237258
conv2d_81,409812
conv2d_78,350654
conv2d_77,292936
conv2d_85,175726
conv2d_82,1104116
conv2d_79,315564
conv2d_80,315610
conv2d_83,315706
conv2d_84,315748
conv2d_90,654798
conv2d_87,561096
conv2d_86,467546
conv2d_94,280738
conv2d_91,1104464
conv2d_88,316056
conv2d_89,316046
conv2d_92,315298
conv2d_93,316044
predictions,1857
