Task,InitTransferTime
conv2d_1,1295
conv2d_2,54950
conv2d_3,206960
conv2d_4,414166
conv2d_6,828728
conv2d_7,1244010
conv2d_8,312208
conv2d_9,83862
conv2d_10,20822
