Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,15395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15653,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,38239,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39536,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34142,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30610,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31187,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,34789,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,40260,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37255,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45840,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35587,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14174,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
