Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,15377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15432,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19098,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,38621,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39047,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34428,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30559,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31207,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,34964,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39311,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37194,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45494,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35631,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13917,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
