taskname,acclname
batch_normalization_47,BatchNormalization1024
conv2d_48,Conv2D1024
batch_normalization_44,BatchNormalization1024
batch_normalization_48,BatchNormalization1024
conv2d_49,Conv2D1024
batch_normalization_49,BatchNormalization1024
conv2d_55,Conv2D1024
conv2d_52,Conv2D512
conv2d_51,Conv2D256
conv2d_60,Conv2D128
batch_normalization_55,BatchNormalization1024
batch_normalization_52,BatchNormalization1024
conv2d_56,Conv2D1024
conv2d_53,Conv2D512
batch_normalization_51,BatchNormalization1024
batch_normalization_56,BatchNormalization1024
batch_normalization_60,BatchNormalization1024
conv2d_57,Conv2D1024
batch_normalization_53,BatchNormalization1024
conv2d_54,Conv2D512
batch_normalization_57,BatchNormalization1024
conv2d_58,Conv2D1024
batch_normalization_54,BatchNormalization1024
batch_normalization_58,BatchNormalization1024
conv2d_59,Conv2D1024
batch_normalization_59,BatchNormalization1024
conv2d_65,Conv2D1024
conv2d_62,Conv2D512
conv2d_61,Conv2D256
conv2d_70,Conv2D1024
batch_normalization_65,BatchNormalization1024
batch_normalization_62,BatchNormalization1024
conv2d_66,Conv2D1024
batch_normalization_61,BatchNormalization1024
conv2d_63,Conv2D512
batch_normalization_70,BatchNormalization1024
batch_normalization_66,BatchNormalization1024
conv2d_67,Conv2D1024
batch_normalization_63,BatchNormalization1024
conv2d_64,Conv2D512
batch_normalization_67,BatchNormalization1024
conv2d_68,Conv2D1024
batch_normalization_64,BatchNormalization1024
batch_normalization_68,BatchNormalization1024
conv2d_69,Conv2D1024
batch_normalization_69,BatchNormalization1024
conv2d_73,Conv2D1024
conv2d_71,Conv2D512
batch_normalization_73,BatchNormalization1024
batch_normalization_71,BatchNormalization1024
conv2d_74,Conv2D1024
conv2d_72,Conv2D512
batch_normalization_74,BatchNormalization1024
conv2d_75,Conv2D1024
batch_normalization_72,BatchNormalization1024
batch_normalization_75,BatchNormalization1024
conv2d_76,Conv2D1024
batch_normalization_76,BatchNormalization1024
conv2d_81,Conv2D1024
conv2d_78,Conv2D512
conv2d_77,Conv2D256
conv2d_85,Conv2D128
batch_normalization_85,BatchNormalization1024
batch_normalization_77,BatchNormalization1024
batch_normalization_78,BatchNormalization1024
conv2d_79,Conv2D512
conv2d_80,Conv2D256
