Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19527,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19071,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37917,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23202,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,23722,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24378,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39627,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,38748,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37172,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34359,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12734,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12757,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
