Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,23172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19176,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19083,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37499,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38243,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23729,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,24405,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24492,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39194,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39609,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37553,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33545,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12742,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12716,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
