Task,InitTransferTime
conv2d_1,1259
conv2d_2,55726
conv2d_3,207052
conv2d_4,414746
conv2d_6,828990
conv2d_7,1243426
conv2d_8,311536
conv2d_9,83238
conv2d_10,20928
