Task,InitTransferTime
conv1,7500
res2a_branch2a,3152
res2a_branch1,11908
res2a_branch2b,27395
res2a_branch2c,12225
res2b_branch2a,12145
res2b_branch2b,25987
res2b_branch2c,12452
res2c_branch2a,12669
res2c_branch2b,26991
res2c_branch2c,12001
res3a_branch2a,23739
res3a_branch1,93586
res3a_branch2b,113073
res3a_branch2c,46597
res3b_branch2a,46803
res3b_branch2b,111854
res3b_branch2c,46301
res3c_branch2a,46346
res3c_branch2b,112038
res3c_branch2c,46660
res3d_branch2a,46446
res3d_branch2b,111248
res3d_branch2c,46184
res4a_branch2a,92326
res4a_branch1,368402
res4a_branch2b,414678
res4a_branch2c,184644
res4b_branch2a,184880
res4b_branch2b,415612
res4b_branch2c,184868
res4c_branch2a,184368
res4c_branch2b,415120
res4c_branch2c,184780
res4d_branch2a,184382
res4d_branch2b,414306
res4d_branch2c,183746
res4e_branch2a,184752
res4e_branch2b,415440
res4e_branch2c,184510
res4f_branch2a,184696
res4f_branch2b,414608
res4f_branch2c,184178
res5a_branch2a,368712
res5a_branch1,1473324
res5a_branch2b,1658508
res5a_branch2c,737226
res5b_branch2a,738044
res5b_branch2b,1658360
res5b_branch2c,736870
res5c_branch2a,736556
res5c_branch2b,1658362
res5c_branch2c,737044
fc1000,1505
