Task,InitTransferTime
conv1,6810
res2a_branch2a,3196
res2a_branch1,11090
res2a_branch2b,27517
res2a_branch2c,12187
res2b_branch2a,12199
res2b_branch2b,26531
res2b_branch2c,12358
res2c_branch2a,12651
res2c_branch2b,26915
res2c_branch2c,10997
res3a_branch2a,23073
res3a_branch1,93859
res3a_branch2b,112453
res3a_branch2c,46691
res3b_branch2a,46513
res3b_branch2b,111432
res3b_branch2c,46779
res3c_branch2a,46202
res3c_branch2b,111256
res3c_branch2c,46624
res3d_branch2a,45854
res3d_branch2b,111808
res3d_branch2c,45324
res4a_branch2a,92236
res4a_branch1,368202
res4a_branch2b,414952
res4a_branch2c,184644
res4b_branch2a,184728
res4b_branch2b,415018
res4b_branch2c,184788
res4c_branch2a,184436
res4c_branch2b,414850
res4c_branch2c,184630
res4d_branch2a,184290
res4d_branch2b,414046
res4d_branch2c,183706
res4e_branch2a,184906
res4e_branch2b,415440
res4e_branch2c,184638
res4f_branch2a,184670
res4f_branch2b,414532
res4f_branch2c,184826
res5a_branch2a,368792
res5a_branch1,1474195
res5a_branch2b,1658334
res5a_branch2c,737388
res5b_branch2a,737570
res5b_branch2b,1657234
res5b_branch2c,737108
res5c_branch2a,737330
res5c_branch2b,1658266
res5c_branch2c,736862
fc1000,1477
