Task,InitTransferTime
conv1,6810
res2a_branch2a,3196
res2a_branch1,11090
res2a_branch2b,27517
res2a_branch2c,12241
res2b_branch2a,11977
res2b_branch2b,26677
res2b_branch2c,12450
res2c_branch2a,11971
res2c_branch2b,27011
res2c_branch2c,11991
res3a_branch2a,23849
res3a_branch1,93628
res3a_branch2b,113651
res3a_branch2c,46681
res3b_branch2a,46743
res3b_branch2b,111834
res3b_branch2c,46389
res3c_branch2a,46212
res3c_branch2b,112100
res3c_branch2c,46668
res3d_branch2a,46518
res3d_branch2b,111310
res3d_branch2c,46032
res4a_branch2a,92238
res4a_branch1,368406
res4a_branch2b,415078
res4a_branch2c,184636
res4b_branch2a,184940
res4b_branch2b,414642
res4b_branch2c,184130
res4c_branch2a,184326
res4c_branch2b,415120
res4c_branch2c,184808
res4d_branch2a,184290
res4d_branch2b,414168
res4d_branch2c,183664
res4e_branch2a,184936
res4e_branch2b,415440
res4e_branch2c,184730
res4f_branch2a,184588
res4f_branch2b,414596
res4f_branch2c,184960
res5a_branch2a,368972
res5a_branch1,1474310
res5a_branch2b,1658258
res5a_branch2c,737234
res5b_branch2a,737440
res5b_branch2b,1657382
res5b_branch2c,737108
res5c_branch2a,737652
res5c_branch2b,1657840
res5c_branch2c,737326
fc1000,1505
