acc,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
BatchNormalization8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization256,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization1024,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization512,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization32,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization64,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Conv2D1024,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Conv2D64,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Conv2D128,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Conv2D256,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Conv2D512,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Dense16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Dense8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Dense256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Dense64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Dense512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dense32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Dense128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Dense1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
