Task,InitTransferTime
conv1,6790
res2a_branch2a,3186
res2a_branch1,11870
res2a_branch2b,27217
res2a_branch2c,12445
res2b_branch2a,11235
res2b_branch2b,26409
res2b_branch2c,12361
res2c_branch2a,12673
res2c_branch2b,26427
res2c_branch2c,11025
res3a_branch2a,23741
res3a_branch1,94300
res3a_branch2b,112412
res3a_branch2c,46961
res3b_branch2a,46285
res3b_branch2b,111619
res3b_branch2c,46373
res3c_branch2a,47509
res3c_branch2b,111392
res3c_branch2c,46646
res3d_branch2a,46424
res3d_branch2b,110928
res3d_branch2c,46160
res4a_branch2a,92182
res4a_branch1,369086
res4a_branch2b,415060
res4a_branch2c,184690
res4b_branch2a,184764
res4b_branch2b,414386
res4b_branch2c,184952
res4c_branch2a,183626
res4c_branch2b,415152
res4c_branch2c,184708
res4d_branch2a,184650
res4d_branch2b,414306
res4d_branch2c,184170
res4e_branch2a,184250
res4e_branch2b,414952
res4e_branch2c,184540
res4f_branch2a,183930
res4f_branch2b,415292
res4f_branch2c,184830
res5a_branch2a,368688
res5a_branch1,1473818
res5a_branch2b,1657620
res5a_branch2c,737938
res5b_branch2a,737142
res5b_branch2b,1658390
res5b_branch2c,737626
res5c_branch2a,736690
res5c_branch2b,1657218
res5c_branch2c,737248
fc1000,2207
