Task,InitTransferTime
conv1,6794
res2a_branch2a,3202
res2a_branch1,11802
res2a_branch2b,27112
res2a_branch2c,12325
res2b_branch2a,11307
res2b_branch2b,26169
res2b_branch2c,12323
res2c_branch2a,12661
res2c_branch2b,26838
res2c_branch2c,11702
res3a_branch2a,23780
res3a_branch1,92524
res3a_branch2b,111978
res3a_branch2c,46566
res3b_branch2a,46038
res3b_branch2b,111292
res3b_branch2c,46088
res3c_branch2a,46194
res3c_branch2b,112324
res3c_branch2c,46536
res3d_branch2a,45926
res3d_branch2b,112266
res3d_branch2c,46032
res4a_branch2a,91602
res4a_branch1,368924
res4a_branch2b,415054
res4a_branch2c,184642
res4b_branch2a,184724
res4b_branch2b,415152
res4b_branch2c,184894
res4c_branch2a,184532
res4c_branch2b,415026
res4c_branch2c,183956
res4d_branch2a,184594
res4d_branch2b,414850
res4d_branch2c,184550
res4e_branch2a,184938
res4e_branch2b,414642
res4e_branch2c,184728
res4f_branch2a,184742
res4f_branch2b,415260
res4f_branch2c,183888
res5a_branch2a,368824
res5a_branch1,1474296
res5a_branch2b,1658308
res5a_branch2c,737538
res5b_branch2a,737508
res5b_branch2b,1657920
res5b_branch2c,736570
res5c_branch2a,737496
res5c_branch2b,1658208
res5c_branch2c,737990
fc1000,1505
