Task,InitTransferTime
conv1,6792
res2a_branch2a,3214
res2a_branch1,11828
res2a_branch2b,26408
res2a_branch2c,11483
res2b_branch2a,12011
res2b_branch2b,26325
res2b_branch2c,11739
res2c_branch2a,12713
res2c_branch2b,27065
res2c_branch2c,11703
res3a_branch2a,23897
res3a_branch1,93584
res3a_branch2b,112677
res3a_branch2c,46551
res3b_branch2a,46286
res3b_branch2b,110858
res3b_branch2c,46124
res3c_branch2a,46294
res3c_branch2b,111292
res3c_branch2c,46614
res3d_branch2a,46374
res3d_branch2b,111024
res3d_branch2c,46148
res4a_branch2a,91466
res4a_branch1,368244
res4a_branch2b,414824
res4a_branch2c,184048
res4b_branch2a,184752
res4b_branch2b,415124
res4b_branch2c,184656
res4c_branch2a,184352
res4c_branch2b,414800
res4c_branch2c,184684
res4d_branch2a,184482
res4d_branch2b,414974
res4d_branch2c,184314
res4e_branch2a,184806
res4e_branch2b,414952
res4e_branch2c,184600
res4f_branch2a,184782
res4f_branch2b,415178
res4f_branch2c,184890
res5a_branch2a,368682
res5a_branch1,1474194
res5a_branch2b,1657400
res5a_branch2c,736818
res5b_branch2a,738290
res5b_branch2b,1657386
res5b_branch2c,736462
res5c_branch2a,737302
res5c_branch2b,1657366
res5c_branch2c,736962
fc1000,1505
