Task,InitTransferTime
conv1,6792
res2a_branch2a,3182
res2a_branch1,11090
res2a_branch2b,27312
res2a_branch2c,11589
res2b_branch2a,12021
res2b_branch2b,26431
res2b_branch2c,12441
res2c_branch2a,11931
res2c_branch2b,26920
res2c_branch2c,11843
res3a_branch2a,23042
res3a_branch1,93624
res3a_branch2b,111486
res3a_branch2c,46648
res3b_branch2a,46238
res3b_branch2b,110650
res3b_branch2c,46172
res3c_branch2a,46296
res3c_branch2b,111402
res3c_branch2c,45824
res3d_branch2a,46418
res3d_branch2b,111658
res3d_branch2c,46172
res4a_branch2a,92048
res4a_branch1,368784
res4a_branch2b,414894
res4a_branch2c,184776
res4b_branch2a,184734
res4b_branch2b,414686
res4b_branch2c,184946
res4c_branch2a,184332
res4c_branch2b,414794
res4c_branch2c,184774
res4d_branch2a,184610
res4d_branch2b,414894
res4d_branch2c,184422
res4e_branch2a,184072
res4e_branch2b,414196
res4e_branch2c,184730
res4f_branch2a,184744
res4f_branch2b,415118
res4f_branch2c,185042
res5a_branch2a,368928
res5a_branch1,1474484
res5a_branch2b,1657756
res5a_branch2c,737068
res5b_branch2a,738222
res5b_branch2b,1657574
res5b_branch2c,736744
res5c_branch2a,737714
res5c_branch2b,1657762
res5c_branch2c,737428
fc1000,1505
