Task,Start,conv2d_1,batch_normalization_1,conv2d_2,batch_normalization_2,conv2d_3,batch_normalization_3,conv2d_4,batch_normalization_4,conv2d_6,batch_normalization_6,conv2d_7,batch_normalization_7,conv2d_8,batch_normalization_8,conv2d_9,batch_normalization_9,conv2d_10,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conv2d_1,0,0,66832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_1,0,0,0,70119,0,0,0,0,0,0,0,0,0,0,0,53648,0,0,0
conv2d_2,0,0,0,0,64242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_2,0,0,0,0,0,69728,0,0,0,0,0,0,0,53627,0,0,0,0,0
conv2d_3,0,0,0,0,0,0,75168,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_3,0,0,0,0,0,0,0,73926,0,0,0,53602,0,0,0,0,0,0,0
conv2d_4,0,0,0,0,0,0,0,0,55315,0,0,0,0,0,0,0,0,0,0
batch_normalization_4,0,0,0,0,0,0,0,0,0,38576,0,0,0,0,0,0,0,0,0
conv2d_6,0,0,0,0,0,0,0,0,0,0,50646,0,0,0,0,0,0,0,0
batch_normalization_6,0,0,0,0,0,0,0,0,0,0,0,48300,0,0,0,0,0,0,0
conv2d_7,0,0,0,0,0,0,0,0,0,0,0,0,57129,0,0,0,0,0,0
batch_normalization_7,0,0,0,0,0,0,0,0,0,0,0,0,0,45642,0,0,0,0,0
conv2d_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55426,0,0,0,0
batch_normalization_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38123,0,0,0
conv2d_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30408,0,0
batch_normalization_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44137,0
conv2d_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
