Task,InitTransferTime
conv2d_1,1259
conv2d_2,55260
conv2d_3,207140
conv2d_4,414724
conv2d_6,829166
conv2d_7,1243982
conv2d_8,311834
conv2d_9,83026
conv2d_10,21572
