Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,32911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,52644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,40846,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,43266,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,36995,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38100,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,40905,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,46435,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,44196,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,40116,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,29314,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,27457,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25628,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12751,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12781,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
