Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,23181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19513,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19075,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37691,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39048,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23116,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,23697,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24127,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39541,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,38865,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37542,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33424,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12742,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12738,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
