Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,23820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19859,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19215,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37086,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38934,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23710,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,24329,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24444,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39821,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39454,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,36902,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34253,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12742,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12759,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
