taskname,acclname
conv2d_1,Conv2D1024
batch_normalization_1,BatchNormalization8
conv2d_2,Conv2D1024
batch_normalization_2,BatchNormalization8
conv2d_3,Conv2D1024
batch_normalization_3,BatchNormalization8
conv2d_4,Conv2D1024
batch_normalization_4,BatchNormalization8
conv2d_5,Conv2D1024
batch_normalization_5,BatchNormalization8
conv2d_9,Conv2D1024
conv2d_7,Conv2D1024
conv2d_6,Conv2D1024
conv2d_12,Conv2D1024
batch_normalization_7,BatchNormalization8
batch_normalization_12,BatchNormalization8
batch_normalization_9,BatchNormalization8
batch_normalization_6,BatchNormalization8
conv2d_10,Conv2D1024
conv2d_8,Conv2D1024
batch_normalization_10,BatchNormalization8
batch_normalization_8,BatchNormalization8
conv2d_11,Conv2D1024
batch_normalization_11,BatchNormalization8
conv2d_16,Conv2D1024
conv2d_14,Conv2D1024
conv2d_13,Conv2D1024
conv2d_19,Conv2D1024
batch_normalization_16,BatchNormalization8
batch_normalization_14,BatchNormalization8
batch_normalization_13,BatchNormalization8
batch_normalization_19,BatchNormalization8
conv2d_17,Conv2D1024
conv2d_15,Conv2D1024
batch_normalization_17,BatchNormalization8
batch_normalization_15,BatchNormalization8
conv2d_18,Conv2D1024
batch_normalization_18,BatchNormalization8
conv2d_23,Conv2D1024
conv2d_21,Conv2D1024
conv2d_20,Conv2D1024
conv2d_26,Conv2D1024
batch_normalization_23,BatchNormalization8
batch_normalization_21,BatchNormalization8
batch_normalization_20,BatchNormalization8
batch_normalization_26,BatchNormalization8
conv2d_24,Conv2D1024
conv2d_22,Conv2D1024
batch_normalization_24,BatchNormalization8
batch_normalization_22,BatchNormalization8
conv2d_25,Conv2D1024
batch_normalization_25,BatchNormalization8
conv2d_28,Conv2D1024
batch_normalization_28,BatchNormalization8
conv2d_29,Conv2D1024
conv2d_27,Conv2D1024
batch_normalization_29,BatchNormalization8
conv2d_30,Conv2D1024
batch_normalization_30,BatchNormalization8
batch_normalization_27,BatchNormalization8
conv2d_35,Conv2D1024
conv2d_32,Conv2D1024
batch_normalization_35,BatchNormalization8
