Task,InitTransferTime
conv2d_1,977
conv2d_2,6494
conv2d_3,13529
conv2d_4,3757
conv2d_5,100785
conv2d_9,9032
conv2d_7,6810
conv2d_6,9010
conv2d_12,5384
conv2d_10,40087
conv2d_8,55058
conv2d_11,60825
conv2d_16,11984
conv2d_14,9202
conv2d_13,12406
conv2d_19,12352
conv2d_17,39565
conv2d_15,55718
conv2d_18,60579
conv2d_23,14023
conv2d_21,10484
conv2d_20,13644
conv2d_26,13298
conv2d_24,40496
conv2d_22,54692
conv2d_25,59279
conv2d_28,13544
conv2d_27,720632
conv2d_29,40071
conv2d_30,59697
conv2d_35,71602
conv2d_32,71338
conv2d_31,107537
conv2d_40,106330
conv2d_36,83042
conv2d_33,82240
conv2d_37,82911
conv2d_34,123988
conv2d_38,83170
conv2d_39,124149
conv2d_45,89444
conv2d_42,88188
conv2d_41,107133
conv2d_50,106031
conv2d_46,129113
conv2d_43,129280
conv2d_47,129027
conv2d_44,154720
conv2d_48,130803
conv2d_49,157281
conv2d_55,87826
conv2d_52,87550
conv2d_51,106955
conv2d_60,105527
conv2d_56,129869
conv2d_53,129718
conv2d_57,129079
conv2d_54,156489
conv2d_58,127740
conv2d_59,153700
conv2d_65,105684
conv2d_62,104980
conv2d_61,105948
conv2d_70,106092
conv2d_66,184592
conv2d_63,184378
conv2d_67,183790
conv2d_64,183752
conv2d_68,184466
conv2d_69,184322
conv2d_73,105648
conv2d_71,105018
conv2d_74,184334
conv2d_72,394052
conv2d_75,184612
conv2d_76,236790
conv2d_81,408812
conv2d_78,351724
conv2d_77,292852
conv2d_85,175192
conv2d_82,1103958
conv2d_79,316858
conv2d_80,316368
conv2d_83,315462
conv2d_84,315816
conv2d_90,655350
conv2d_87,560970
conv2d_86,467510
conv2d_94,280602
conv2d_91,1104302
conv2d_88,315900
conv2d_89,315668
conv2d_92,315422
conv2d_93,316208
predictions,1713
