Task,InitTransferTime
conv2d_1,1655
conv2d_2,6496
conv2d_3,13561
conv2d_4,4527
conv2d_5,101321
conv2d_9,9109
conv2d_7,6806
conv2d_6,9040
conv2d_12,5324
conv2d_10,39894
conv2d_8,55568
conv2d_11,60397
conv2d_16,12186
conv2d_14,9240
conv2d_13,12486
conv2d_19,11554
conv2d_17,39885
conv2d_15,55756
conv2d_18,60233
conv2d_23,14007
conv2d_21,10456
conv2d_20,13584
conv2d_26,13582
conv2d_24,40576
conv2d_22,54836
conv2d_25,59965
conv2d_28,13538
conv2d_27,720791
conv2d_29,39124
conv2d_30,59349
conv2d_35,71004
conv2d_32,71044
conv2d_31,107545
conv2d_40,106908
conv2d_36,82247
conv2d_33,82275
conv2d_37,82583
conv2d_34,124352
conv2d_38,83088
conv2d_39,123933
conv2d_45,88910
conv2d_42,88171
conv2d_41,105673
conv2d_50,105697
conv2d_46,130513
conv2d_43,129438
conv2d_47,129314
conv2d_44,154332
conv2d_48,130453
conv2d_49,155621
conv2d_55,89309
conv2d_52,88115
conv2d_51,106285
conv2d_60,106489
conv2d_56,129547
conv2d_53,130770
conv2d_57,129301
conv2d_54,156713
conv2d_58,127876
conv2d_59,153740
conv2d_65,104764
conv2d_62,105686
conv2d_61,105946
conv2d_70,105444
conv2d_66,184608
conv2d_63,184840
conv2d_67,184230
conv2d_64,184250
conv2d_68,184608
conv2d_69,183430
conv2d_73,105524
conv2d_71,105524
conv2d_74,184426
conv2d_72,394864
conv2d_75,184484
conv2d_76,236580
conv2d_81,408722
conv2d_78,350358
conv2d_77,292960
conv2d_85,175168
conv2d_82,1103972
conv2d_79,315634
conv2d_80,315404
conv2d_83,316050
conv2d_84,316294
conv2d_90,654902
conv2d_87,561148
conv2d_86,468078
conv2d_94,280738
conv2d_91,1104642
conv2d_88,315370
conv2d_89,316314
conv2d_92,315486
conv2d_93,315574
predictions,1741
