Task,InitTransferTime
conv2d_1,949
conv2d_2,7362
conv2d_3,13615
conv2d_4,3773
conv2d_5,101185
conv2d_9,9177
conv2d_7,7096
conv2d_6,9924
conv2d_12,4648
conv2d_10,40728
conv2d_8,56020
conv2d_11,59820
conv2d_16,11480
conv2d_14,9888
conv2d_13,11751
conv2d_19,12356
conv2d_17,40339
conv2d_15,55510
conv2d_18,60605
conv2d_23,13892
conv2d_21,9722
conv2d_20,13614
conv2d_26,13524
conv2d_24,39420
conv2d_22,54666
conv2d_25,59522
conv2d_28,13624
conv2d_27,719314
conv2d_29,39101
conv2d_30,59321
conv2d_35,70203
conv2d_32,71945
conv2d_31,106481
conv2d_40,106003
conv2d_36,83767
conv2d_33,82738
conv2d_37,83648
conv2d_34,124464
conv2d_38,82690
conv2d_39,123427
conv2d_50,106486
conv2d_45,88508
conv2d_42,89003
conv2d_41,105479
conv2d_46,130703
conv2d_43,128911
conv2d_47,130557
conv2d_44,155422
conv2d_48,128209
conv2d_49,154887
conv2d_55,89398
conv2d_52,89156
conv2d_51,106063
conv2d_60,106415
conv2d_56,129991
conv2d_53,130478
conv2d_57,129263
conv2d_54,156582
conv2d_58,127750
conv2d_59,154020
conv2d_65,105054
conv2d_62,105584
conv2d_61,105868
conv2d_70,105518
conv2d_66,184478
conv2d_63,184638
conv2d_67,184248
conv2d_64,184320
conv2d_68,184476
conv2d_69,184240
conv2d_73,105498
conv2d_71,105742
conv2d_74,184440
conv2d_72,395016
conv2d_75,183840
conv2d_76,237376
conv2d_81,408854
conv2d_78,351714
conv2d_77,292938
conv2d_85,175268
conv2d_82,1103238
conv2d_79,315834
conv2d_80,315288
conv2d_83,316470
conv2d_84,316062
conv2d_90,655124
conv2d_87,560986
conv2d_86,467262
conv2d_94,281118
conv2d_91,1104200
conv2d_88,315424
conv2d_89,315632
conv2d_92,315522
conv2d_93,315836
predictions,1619
