Task,InitTransferTime
conv2d_1,1685
conv2d_2,7294
conv2d_3,13589
conv2d_4,4445
conv2d_5,99692
conv2d_9,8353
conv2d_7,6861
conv2d_6,9802
conv2d_12,4616
conv2d_10,40122
conv2d_8,55667
conv2d_11,60600
conv2d_16,12427
conv2d_14,9058
conv2d_13,12605
conv2d_19,11566
conv2d_17,40446
conv2d_15,55514
conv2d_18,60383
conv2d_23,14161
conv2d_21,9664
conv2d_20,12908
conv2d_26,13661
conv2d_24,40117
conv2d_22,54423
conv2d_25,59396
conv2d_28,13497
conv2d_27,720606
conv2d_29,39288
conv2d_30,60234
conv2d_35,71084
conv2d_32,70361
conv2d_31,106237
conv2d_40,106134
conv2d_36,83621
conv2d_33,84018
conv2d_37,82677
conv2d_34,125288
conv2d_38,82220
conv2d_39,123991
conv2d_45,88323
conv2d_42,88931
conv2d_41,105973
conv2d_50,105696
conv2d_46,129955
conv2d_43,129951
conv2d_47,127852
conv2d_44,153106
conv2d_48,127438
conv2d_49,154278
conv2d_55,88238
conv2d_52,88050
conv2d_51,105074
conv2d_60,105874
conv2d_56,127966
conv2d_53,128470
conv2d_57,128592
conv2d_54,153952
conv2d_58,128844
conv2d_59,153652
conv2d_65,105834
conv2d_62,105586
conv2d_61,106036
conv2d_70,105716
conv2d_66,184346
conv2d_63,184234
conv2d_67,183896
conv2d_64,184128
conv2d_68,184584
conv2d_69,184262
conv2d_73,105508
conv2d_71,104892
conv2d_74,184626
conv2d_72,394220
conv2d_75,184386
conv2d_76,236730
conv2d_81,409330
conv2d_78,351128
conv2d_77,292936
conv2d_85,176330
conv2d_82,1103398
conv2d_79,316394
conv2d_80,315706
conv2d_83,315490
conv2d_84,316072
conv2d_90,654644
conv2d_87,561564
conv2d_86,467446
conv2d_94,280906
conv2d_91,1104238
conv2d_88,315934
conv2d_89,316232
conv2d_92,315188
conv2d_93,315876
predictions,1713
