Task,InitTransferTime
conv2d_1,1685
conv2d_2,6526
conv2d_3,13603
conv2d_4,3763
conv2d_5,100567
conv2d_9,9107
conv2d_7,7536
conv2d_6,9700
conv2d_12,4626
conv2d_10,40448
conv2d_8,55794
conv2d_11,60551
conv2d_16,12136
conv2d_14,9940
conv2d_13,12456
conv2d_19,12333
conv2d_17,39807
conv2d_15,54844
conv2d_18,59609
conv2d_23,14023
conv2d_21,10312
conv2d_20,13587
conv2d_26,13536
conv2d_24,40448
conv2d_22,55992
conv2d_25,60253
conv2d_28,13656
conv2d_27,718900
conv2d_29,39312
conv2d_30,59751
conv2d_35,71030
conv2d_32,71648
conv2d_31,106351
conv2d_40,106900
conv2d_36,82733
conv2d_33,82678
conv2d_37,82064
conv2d_34,124558
conv2d_38,83020
conv2d_39,124987
conv2d_45,87702
conv2d_42,87820
conv2d_41,105511
conv2d_50,107401
conv2d_46,130221
conv2d_43,129672
conv2d_47,129551
conv2d_44,156400
conv2d_48,128865
conv2d_49,155341
conv2d_55,89521
conv2d_52,89131
conv2d_51,105108
conv2d_60,107525
conv2d_56,130469
conv2d_53,130026
conv2d_57,129143
conv2d_54,155615
conv2d_58,127638
conv2d_59,153766
conv2d_65,105574
conv2d_62,105022
conv2d_61,105794
conv2d_70,105894
conv2d_66,183838
conv2d_63,184838
conv2d_67,183814
conv2d_64,183758
conv2d_68,184430
conv2d_69,184136
conv2d_73,105404
conv2d_71,105006
conv2d_74,183862
conv2d_72,394056
conv2d_75,184738
conv2d_76,236498
conv2d_81,409278
conv2d_78,350764
conv2d_77,292780
conv2d_85,175220
conv2d_82,1103960
conv2d_79,315646
conv2d_80,315442
conv2d_83,315744
conv2d_84,315786
conv2d_90,654570
conv2d_87,561496
conv2d_86,467554
conv2d_94,280876
conv2d_91,1104242
conv2d_88,315370
conv2d_89,316294
conv2d_92,315482
conv2d_93,315578
predictions,1741
