Task,InitTransferTime
conv2d_1,1685
conv2d_2,7260
conv2d_3,13553
conv2d_4,3741
conv2d_5,99285
conv2d_9,9023
conv2d_7,6820
conv2d_6,9810
conv2d_12,4638
conv2d_10,39420
conv2d_8,55807
conv2d_11,60520
conv2d_16,12241
conv2d_14,9084
conv2d_13,12571
conv2d_19,11492
conv2d_17,40585
conv2d_15,55053
conv2d_18,60157
conv2d_23,13830
conv2d_21,10438
conv2d_20,13539
conv2d_26,13541
conv2d_24,40279
conv2d_22,55052
conv2d_25,58835
conv2d_28,12933
conv2d_27,718249
conv2d_29,40544
conv2d_30,59422
conv2d_35,70896
conv2d_32,70918
conv2d_31,105990
conv2d_40,105992
conv2d_36,82106
conv2d_33,81992
conv2d_37,82550
conv2d_34,122854
conv2d_38,81814
conv2d_39,123148
conv2d_45,87504
conv2d_42,87380
conv2d_41,105576
conv2d_50,105714
conv2d_46,127990
conv2d_43,128126
conv2d_47,128274
conv2d_44,152698
conv2d_48,127608
conv2d_49,153944
conv2d_55,88412
conv2d_52,87866
conv2d_51,104936
conv2d_60,105768
conv2d_56,128156
conv2d_53,127858
conv2d_57,128096
conv2d_54,153952
conv2d_58,128104
conv2d_59,153436
conv2d_65,105432
conv2d_62,105130
conv2d_61,105798
conv2d_70,105712
conv2d_66,183942
conv2d_63,184358
conv2d_67,183398
conv2d_64,184106
conv2d_68,183774
conv2d_69,184246
conv2d_73,104780
conv2d_71,105950
conv2d_74,184372
conv2d_72,394120
conv2d_75,184858
conv2d_76,236624
conv2d_81,409018
conv2d_78,350514
conv2d_77,291802
conv2d_85,175044
conv2d_82,1103918
conv2d_79,315574
conv2d_80,315980
conv2d_83,316674
conv2d_84,316152
conv2d_90,655216
conv2d_87,561046
conv2d_86,467752
conv2d_94,280482
conv2d_91,1104196
conv2d_88,315540
conv2d_89,315570
conv2d_92,315228
conv2d_93,315658
predictions,1515
