Task,InitTransferTime
conv2d_1,977
conv2d_2,6490
conv2d_3,13629
conv2d_4,3825
conv2d_5,99740
conv2d_9,9153
conv2d_7,6810
conv2d_6,9444
conv2d_12,4600
conv2d_10,40553
conv2d_8,55403
conv2d_11,59855
conv2d_16,12310
conv2d_14,9742
conv2d_13,12564
conv2d_19,11490
conv2d_17,39769
conv2d_15,55300
conv2d_18,59758
conv2d_23,13910
conv2d_21,9638
conv2d_20,13504
conv2d_26,13504
conv2d_24,39200
conv2d_22,54442
conv2d_25,59482
conv2d_28,13420
conv2d_27,710554
conv2d_29,39022
conv2d_30,59388
conv2d_35,70742
conv2d_32,70058
conv2d_31,105670
conv2d_40,105778
conv2d_36,82070
conv2d_33,81994
conv2d_37,82618
conv2d_34,123018
conv2d_38,81942
conv2d_39,122958
conv2d_45,87160
conv2d_42,87434
conv2d_41,105160
conv2d_50,105456
conv2d_46,127970
conv2d_43,128010
conv2d_47,127494
conv2d_44,153844
conv2d_48,127556
conv2d_49,153210
conv2d_55,87860
conv2d_52,88008
conv2d_51,105578
conv2d_60,105866
conv2d_56,128584
conv2d_53,127784
conv2d_57,128140
conv2d_54,152994
conv2d_58,128054
conv2d_59,153036
conv2d_65,105490
conv2d_62,105682
conv2d_61,104880
conv2d_70,105784
conv2d_66,184594
conv2d_63,184510
conv2d_67,184042
conv2d_64,184220
conv2d_68,184452
conv2d_69,184314
conv2d_73,105368
conv2d_71,105668
conv2d_74,184410
conv2d_72,394680
conv2d_75,184680
conv2d_76,236646
conv2d_81,409046
conv2d_78,351280
conv2d_77,292568
conv2d_85,175048
conv2d_82,1104204
conv2d_79,315642
conv2d_80,315328
conv2d_83,315658
conv2d_84,315142
conv2d_90,654580
conv2d_87,560976
conv2d_86,467880
conv2d_94,280638
conv2d_91,1104294
conv2d_88,315272
conv2d_89,315850
conv2d_92,315540
conv2d_93,315616
predictions,2257
