Task,InitTransferTime
conv1,6794
res2a_branch2a,3156
res2a_branch1,11074
res2a_branch2b,27145
res2a_branch2c,11533
res2b_branch2a,11262
res2b_branch2b,25523
res2b_branch2c,12473
res2c_branch2a,12624
res2c_branch2b,26317
res2c_branch2c,11761
res3a_branch2a,23319
res3a_branch1,93358
res3a_branch2b,112241
res3a_branch2c,46639
res3b_branch2a,46637
res3b_branch2b,111586
res3b_branch2c,46160
res3c_branch2a,46266
res3c_branch2b,111286
res3c_branch2c,46586
res3d_branch2a,46446
res3d_branch2b,111014
res3d_branch2c,45764
res4a_branch2a,91476
res4a_branch1,368844
res4a_branch2b,414902
res4a_branch2c,184546
res4b_branch2a,183990
res4b_branch2b,415328
res4b_branch2c,184886
res4c_branch2a,184318
res4c_branch2b,414716
res4c_branch2c,184812
res4d_branch2a,184556
res4d_branch2b,414192
res4d_branch2c,183836
res4e_branch2a,184948
res4e_branch2b,414916
res4e_branch2c,184550
res4f_branch2a,183738
res4f_branch2b,415322
res4f_branch2c,184548
res5a_branch2a,368954
res5a_branch1,1473820
res5a_branch2b,1658660
res5a_branch2c,737200
res5b_branch2a,738054
res5b_branch2b,1657878
res5b_branch2c,737662
res5c_branch2a,736864
res5c_branch2b,1658892
res5c_branch2c,737000
fc1000,2123
