Task,InitTransferTime
conv1,6794
res2a_branch2a,3262
res2a_branch1,11836
res2a_branch2b,27171
res2a_branch2c,12291
res2b_branch2a,11954
res2b_branch2b,25407
res2b_branch2c,11657
res2c_branch2a,12648
res2c_branch2b,27047
res2c_branch2c,11837
res3a_branch2a,23915
res3a_branch1,93094
res3a_branch2b,112240
res3a_branch2c,46731
res3b_branch2a,46544
res3b_branch2b,112318
res3b_branch2c,46130
res3c_branch2a,46284
res3c_branch2b,111312
res3c_branch2c,46676
res3d_branch2a,46442
res3d_branch2b,110742
res3d_branch2c,46058
res4a_branch2a,91368
res4a_branch1,369240
res4a_branch2b,415178
res4a_branch2c,184600
res4b_branch2a,184564
res4b_branch2b,415406
res4b_branch2c,184760
res4c_branch2a,184120
res4c_branch2b,414902
res4c_branch2c,184688
res4d_branch2a,184808
res4d_branch2b,414106
res4d_branch2c,184414
res4e_branch2a,184650
res4e_branch2b,414930
res4e_branch2c,183692
res4f_branch2a,184740
res4f_branch2b,414696
res4f_branch2c,184856
res5a_branch2a,368842
res5a_branch1,1473408
res5a_branch2b,1658286
res5a_branch2c,737450
res5b_branch2a,737214
res5b_branch2b,1658928
res5b_branch2c,736352
res5c_branch2a,737758
res5c_branch2b,1657676
res5c_branch2c,737276
fc1000,1415
