Task,InitTransferTime
conv1,6794
res2a_branch2a,3158
res2a_branch1,11078
res2a_branch2b,27235
res2a_branch2c,12279
res2b_branch2a,12218
res2b_branch2b,26176
res2b_branch2c,12347
res2c_branch2a,12770
res2c_branch2b,26995
res2c_branch2c,11751
res3a_branch2a,23223
res3a_branch1,93130
res3a_branch2b,112277
res3a_branch2c,46609
res3b_branch2a,46611
res3b_branch2b,111361
res3b_branch2c,46384
res3c_branch2a,46388
res3c_branch2b,111728
res3c_branch2c,46566
res3d_branch2a,45694
res3d_branch2b,112094
res3d_branch2c,46218
res4a_branch2a,92328
res4a_branch1,368412
res4a_branch2b,414962
res4a_branch2c,184652
res4b_branch2a,184138
res4b_branch2b,415302
res4b_branch2c,184860
res4c_branch2a,184302
res4c_branch2b,414030
res4c_branch2c,184636
res4d_branch2a,184648
res4d_branch2b,414800
res4d_branch2c,184336
res4e_branch2a,184822
res4e_branch2b,415192
res4e_branch2c,184492
res4f_branch2a,183892
res4f_branch2b,415320
res4f_branch2c,184858
res5a_branch2a,368664
res5a_branch1,1474454
res5a_branch2b,1659278
res5a_branch2c,737090
res5b_branch2a,737090
res5b_branch2b,1658672
res5b_branch2c,736812
res5c_branch2a,736258
res5c_branch2b,1658360
res5c_branch2c,737784
fc1000,1415
