Task,InitTransferTime
conv1,6794
res2a_branch2a,3190
res2a_branch1,11678
res2a_branch2b,27087
res2a_branch2c,12233
res2b_branch2a,11286
res2b_branch2b,26317
res2b_branch2c,12453
res2c_branch2a,12648
res2c_branch2b,27131
res2c_branch2c,11777
res3a_branch2a,23405
res3a_branch1,93768
res3a_branch2b,112893
res3a_branch2c,46739
res3b_branch2a,46135
res3b_branch2b,112010
res3b_branch2c,46136
res3c_branch2a,46264
res3c_branch2b,112064
res3c_branch2c,46454
res3d_branch2a,46440
res3d_branch2b,111136
res3d_branch2c,45398
res4a_branch2a,92154
res4a_branch1,368944
res4a_branch2b,414054
res4a_branch2c,184738
res4b_branch2a,184760
res4b_branch2b,415100
res4b_branch2c,184772
res4c_branch2a,184552
res4c_branch2b,415234
res4c_branch2c,184778
res4d_branch2a,184496
res4d_branch2b,414708
res4d_branch2c,184104
res4e_branch2a,184962
res4e_branch2b,415330
res4e_branch2c,184718
res4f_branch2a,184710
res4f_branch2b,415204
res4f_branch2c,184952
res5a_branch2a,368892
res5a_branch1,1473402
res5a_branch2b,1658362
res5a_branch2c,737762
res5b_branch2a,738054
res5b_branch2b,1657712
res5b_branch2c,737710
res5c_branch2a,737792
res5c_branch2b,1657744
res5c_branch2c,737270
fc1000,1415
