Task,InitTransferTime
conv1,6794
res2a_branch2a,3846
res2a_branch1,11786
res2a_branch2b,26525
res2a_branch2c,12247
res2b_branch2a,12040
res2b_branch2b,26276
res2b_branch2c,11787
res2c_branch2a,12690
res2c_branch2b,26905
res2c_branch2c,11791
res3a_branch2a,23791
res3a_branch1,93404
res3a_branch2b,112819
res3a_branch2c,46157
res3b_branch2a,46167
res3b_branch2b,112858
res3b_branch2c,46086
res3c_branch2a,46280
res3c_branch2b,111244
res3c_branch2c,46524
res3d_branch2a,46508
res3d_branch2b,111792
res3d_branch2c,46158
res4a_branch2a,92100
res4a_branch1,367892
res4a_branch2b,414702
res4a_branch2c,184560
res4b_branch2a,184666
res4b_branch2b,414950
res4b_branch2c,185032
res4c_branch2a,184322
res4c_branch2b,414576
res4c_branch2c,184880
res4d_branch2a,184354
res4d_branch2b,414644
res4d_branch2c,183676
res4e_branch2a,184696
res4e_branch2b,415174
res4e_branch2c,183884
res4f_branch2a,184730
res4f_branch2b,415188
res4f_branch2c,184014
res5a_branch2a,368678
res5a_branch1,1474196
res5a_branch2b,1657482
res5a_branch2c,736936
res5b_branch2a,737784
res5b_branch2b,1658274
res5b_branch2c,737362
res5c_branch2a,737978
res5c_branch2b,1657626
res5c_branch2c,737094
fc1000,1415
