Task,InitTransferTime
conv1,6794
res2a_branch2a,3192
res2a_branch1,11078
res2a_branch2b,27159
res2a_branch2c,11597
res2b_branch2a,11996
res2b_branch2b,26287
res2b_branch2c,11773
res2c_branch2a,12648
res2c_branch2b,26465
res2c_branch2c,11723
res3a_branch2a,23351
res3a_branch1,93182
res3a_branch2b,112641
res3a_branch2c,46639
res3b_branch2a,46791
res3b_branch2b,111607
res3b_branch2c,46288
res3c_branch2a,46320
res3c_branch2b,111384
res3c_branch2c,46620
res3d_branch2a,46476
res3d_branch2b,111616
res3d_branch2c,46120
res4a_branch2a,92228
res4a_branch1,368150
res4a_branch2b,414972
res4a_branch2c,184492
res4b_branch2a,184394
res4b_branch2b,415100
res4b_branch2c,184772
res4c_branch2a,184316
res4c_branch2b,414176
res4c_branch2c,184752
res4d_branch2a,184590
res4d_branch2b,414794
res4d_branch2c,184390
res4e_branch2a,184742
res4e_branch2b,415412
res4e_branch2c,184578
res4f_branch2a,183912
res4f_branch2b,415322
res4f_branch2c,184676
res5a_branch2a,368932
res5a_branch1,1473592
res5a_branch2b,1658168
res5a_branch2c,737326
res5b_branch2a,738196
res5b_branch2b,1658114
res5b_branch2c,737528
res5c_branch2a,736798
res5c_branch2b,1658374
res5c_branch2c,737002
fc1000,2123
