Task,InitTransferTime
conv1,7500
res2a_branch2a,3158
res2a_branch1,11078
res2a_branch2b,27341
res2a_branch2c,12281
res2b_branch2a,11608
res2b_branch2b,26563
res2b_branch2c,12361
res2c_branch2a,12754
res2c_branch2b,26963
res2c_branch2c,11785
res3a_branch2a,23845
res3a_branch1,93194
res3a_branch2b,112489
res3a_branch2c,47213
res3b_branch2a,46489
res3b_branch2b,111018
res3b_branch2c,46182
res3c_branch2a,46350
res3c_branch2b,111512
res3c_branch2c,46626
res3d_branch2a,46266
res3d_branch2b,110948
res3d_branch2c,46124
res4a_branch2a,91556
res4a_branch1,368404
res4a_branch2b,414868
res4a_branch2c,184690
res4b_branch2a,184080
res4b_branch2b,414476
res4b_branch2c,184882
res4c_branch2a,184304
res4c_branch2b,414912
res4c_branch2c,183936
res4d_branch2a,184458
res4d_branch2b,414934
res4d_branch2c,183562
res4e_branch2a,184162
res4e_branch2b,414356
res4e_branch2c,184546
res4f_branch2a,184770
res4f_branch2b,414414
res4f_branch2c,184942
res5a_branch2a,368848
res5a_branch1,1474018
res5a_branch2b,1657462
res5a_branch2c,736992
res5b_branch2a,737676
res5b_branch2b,1658260
res5b_branch2c,737656
res5c_branch2a,736588
res5c_branch2b,1658374
res5c_branch2c,737132
fc1000,2129
